Market 1 NTP Number,AREA,SOW TSD Date,Vendor Assignment,Date Assigned,Assigned Supervisor,Penguin ID,HHP,On Track or In Jeopardy,Permit Status,Blockers/Risks,Door Tag Date,SOW Received,SOW Estimated Cost,NTP Received,Constuction Status,Locate Date,Restoration Completed,QC Requested Date,QC Sheet Phase 1 Received ,QC Sheet Phase 2 Received ,Footage UG,Actual Redline Completed Footage UG,Footage Remaining,UG Percentage Complete,Construction Start Date,Construction End Date,Fiber Placement  Percentage Complete,Splicing Percentage Complete,Fiber Placement and Splice Only Footage ,Notes
FB-HSF675,Port Charlotte,46111,,,,,0,On Track,Pending,SOW Pending,,No,,No,Not Started,,,,,,,,0,0,,,0,0,0,2/19 Pending NTP Package and SOW.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market 4 NTP Number,AREA,SOW TSD Date,Vendor Assignment,Date Assigned,Assigned Supervisor,Penguin ID,HHP,On Track or In Jeopardy,Permit Status,Blockers/Risks,Door Tag Date,SOW Received,SOW Estimated Cost,NTP Received,Constuction Status,Locate Date,Restoration Completed,QC Requested Date,QC Sheet Phase 1 Received ,QC Sheet Phase 2 Received ,Footage UG,Actual Redline Completed Footage UG,Footage Remaining,UG Percentage Complete,Construction Start Date,Construction End Date,Fiber Placement  Percentage Complete,Splicing Percentage Complete,Fiber Placement and Splice Only Footage ,Notes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market 7 NTP Number,AREA,SOW TSD Date,Vendor Assignment,Date Assigned,Assigned Supervisor,Penguin ID,HHP,On Track or In Jeopardy,Permit Status,Blockers/Risks,Door Tag Date,SOW Received,SOW Estimated Cost,NTP Received,Constuction Status,Locate Date,Restoration Completed,QC Requested Date,QC Sheet Phase 1 Received ,QC Sheet Phase 2 Received ,Footage UG,Actual Redline Completed Footage UG,Footage Remaining,UG Percentage Complete,Construction Start Date,Construction End Date,Fiber Placement  Percentage Complete,Splicing Percentage Complete,Fiber Placement and Splice Only Footage ,Notes
BHC-FSW-04-E,Kissimmee,46326,,,,,0,On Track,Received,,,Yes,68022.75,Yes,Not Started,,,,,,4564,,4564,,,,0,0,0,8/4 PO Received.
BHT-FSE-01,Kissimmee,46326,BICOM,46237,Miguel,,0,On Track,Received,,46237,Yes,75444.55,Yes,Locates Called,46237,,,,,5936,,5936,,,,0,0,0,7/30 NTP Package Recived/Locates called 8/3
D-HSW401,Kissimmee,46318,,,,,60,On Track,Pending,Permits,,Yes,82732,Yes,Not Started,,,,,,7117,,7117,,,,0,0,0,2/11 Pending Permit
D-HSW402,Kissimmee,46318,,,,,83,On Track,Pending,Permits,,Yes,110980,Yes,Not Started,,,,,,9590,,9590,,,,0,0,0,2/11 Pending Permit
